package,test,result,log,elapsed_seconds,completed_runs
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyDeleteDefaultsToDeniedThenUsesTheCurrentReplacement,pass,rcc-goose-t3-integration.jsonl,14.05,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyDeleteFailsClosedBeforeExecution,pass,rcc-goose-t3-integration.jsonl,8.73,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyDeleteFailsClosedForInvalidCurrentPolicyAndLiveTable,pass,rcc-goose-t3-integration.jsonl,11.17,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyDeleteFailsClosedForStaleAutoFillSchemaRules,pass,rcc-goose-t3-integration.jsonl,15.2,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyDeleteFailsClosedForUnsupportedLiveColumns,pass,rcc-goose-t3-integration.jsonl,13.66,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyDeleteMapsMissingRowsToNotFound,pass,rcc-goose-t3-integration.jsonl,7.94,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyDeleteRollsBackDatabaseFailures,pass,rcc-goose-t3-integration.jsonl,11.53,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyHTTPLifecyclePersistsRelationalRulesAndFailsClosed,pass,rcc-goose-t3-integration.jsonl,15.62,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyMapsMySQLUniqueKeyViolationsToConflict,pass,rcc-goose-t3-integration.jsonl,10.91,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyPatchAutoFillUsesModifySlotsAndRejectsManagedInput,pass,rcc-goose-t3-integration.jsonl,13.35,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyPatchFailsClosedForCurrentPolicyAndSchema,pass,rcc-goose-t3-integration.jsonl,14.39,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyPatchMapsUniqueKeyConflictsAndRollsBack,pass,rcc-goose-t3-integration.jsonl,14.92,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyPatchRejectsInvalidAndNonWritableFields,pass,rcc-goose-t3-integration.jsonl,11.16,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyPatchRejectsInvalidAndNonWritableFields/empty_patch,pass,rcc-goose-t3-integration.jsonl,0.03,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyPatchRejectsInvalidAndNonWritableFields/generated_field,pass,rcc-goose-t3-integration.jsonl,0.04,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyPatchRejectsInvalidAndNonWritableFields/invalid_integer,pass,rcc-goose-t3-integration.jsonl,0.04,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyPatchRejectsInvalidAndNonWritableFields/non-string_dynamic_value,pass,rcc-goose-t3-integration.jsonl,0.03,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyPatchRejectsInvalidAndNonWritableFields/null_in_non-null_column,pass,rcc-goose-t3-integration.jsonl,0.03,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyPatchRejectsInvalidAndNonWritableFields/primary_key,pass,rcc-goose-t3-integration.jsonl,0.04,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyPatchRejectsInvalidAndNonWritableFields/unknown_field,pass,rcc-goose-t3-integration.jsonl,0.03,1
